user_name,meal,restaurant,rating,order_date
Silvia,Panna Cotta,Ristorante Roma,4,2023-05-24
Elena,Cannoli,Pizzeria Napoli,3,2023-07-28
Valentina,Panna Cotta,Trattoria Milano,2,2023-09-13
Chiara,Bruschetta,Cucina Siciliana,4,2023-08-11
Silvia,Spaghetti Carbonara,Trattoria Milano,3,2023-09-21
Francesca,Spaghetti Carbonara,Ristorante Roma,3,2023-07-06
Simone,Spaghetti Carbonara,Osteria Firenze,4,2023-08-15
Alice,Gnocchi,Cucina Siciliana,2,2023-10-12
Valentina,Bruschetta,Cucina Siciliana,2,2023-05-18
Matteo,Risotto alla Milanese,Trattoria Milano,5,2023-08-17
Lorenzo,Risotto alla Milanese,Ristorante Roma,5,2023-12-25
Davide,Pizza Margherita,Trattoria Milano,5,2023-04-10
Alessandro,Focaccia,Ristorante Roma,1,2023-08-02
Andrea,Bruschetta,Ristorante Roma,1,2023-02-06
Valentina,Focaccia,Trattoria Milano,1,2023-10-21
Matteo,Spaghetti Carbonara,Ristorante Roma,2,2023-10-02
Alice,Risotto alla Milanese,Cucina Siciliana,4,2023-08-15
Sara,Focaccia,Pizzeria Napoli,3,2023-10-03
Lorenzo,Pizza Margherita,Cucina Siciliana,4,2023-10-04
Valentina,Lasagna,Cucina Siciliana,4,2023-12-14
Davide,Panna Cotta,Trattoria Milano,4,2023-10-17
Giulia,Bruschetta,Osteria Firenze,4,2023-01-10
Silvia,Risotto alla Milanese,Pizzeria Napoli,1,2023-11-18
Andrea,Risotto alla Milanese,Cucina Siciliana,3,2023-11-24
Elena,Cannoli,Pizzeria Napoli,4,2023-09-04
Matteo,Tiramisu,Ristorante Roma,2,2023-10-28
Silvia,Focaccia,Pizzeria Napoli,2,2023-07-16
Marco,Risotto alla Milanese,Osteria Firenze,2,2023-11-08
Chiara,Pizza Margherita,Pizzeria Napoli,1,2023-07-08
Matteo,Tiramisu,Pizzeria Napoli,3,2023-09-12
Andrea,Gnocchi,Ristorante Roma,5,2023-07-21
Francesco,Spaghetti Carbonara,Pizzeria Napoli,4,2023-06-26
Matteo,Bruschetta,Osteria Firenze,1,2023-04-25
Silvia,Spaghetti Carbonara,Trattoria Milano,5,2023-03-28
Davide,Lasagna,Trattoria Milano,3,2023-12-12
Andrea,Spaghetti Carbonara,Pizzeria Napoli,4,2023-09-21
Giulia,Focaccia,Osteria Firenze,4,2023-12-26
Alice,Tiramisu,Pizzeria Napoli,2,2023-01-21
Marco,Lasagna,Trattoria Milano,1,2023-03-15
Federica,Cannoli,Osteria Firenze,1,2023-07-16
Giorgio,Tiramisu,Pizzeria Napoli,3,2023-11-03
Luca,Lasagna,Cucina Siciliana,2,2023-02-03
Sara,Panna Cotta,Pizzeria Napoli,1,2023-04-28
Luca,Panna Cotta,Osteria Firenze,4,2023-10-25
Simone,Focaccia,Cucina Siciliana,3,2023-09-21
Valentina,Lasagna,Pizzeria Napoli,4,2023-01-07
Davide,Risotto alla Milanese,Pizzeria Napoli,5,2023-02-19
Luca,Focaccia,Osteria Firenze,3,2023-07-27
Giulia,Panna Cotta,Pizzeria Napoli,5,2023-08-03
Lorenzo,Lasagna,Ristorante Roma,1,2023-08-24
Valentina,Cannoli,Ristorante Roma,3,2023-03-03
Martina,Risotto alla Milanese,Ristorante Roma,4,2023-04-13
Alessandro,Bruschetta,Osteria Firenze,4,2023-07-25
Lorenzo,Lasagna,Cucina Siciliana,5,2023-04-08
Giorgio,Bruschetta,Ristorante Roma,4,2023-09-14
Andrea,Tiramisu,Osteria Firenze,1,2023-11-14
Davide,Lasagna,Osteria Firenze,4,2023-12-08
Giulia,Bruschetta,Cucina Siciliana,1,2023-08-23
Alice,Pizza Margherita,Pizzeria Napoli,3,2023-11-14
Federica,Tiramisu,Cucina Siciliana,5,2023-04-05
Marco,Pizza Margherita,Cucina Siciliana,5,2023-09-09
Francesca,Risotto alla Milanese,Ristorante Roma,2,2023-08-01
Sara,Gnocchi,Pizzeria Napoli,4,2023-09-19
Silvia,Focaccia,Cucina Siciliana,3,2023-06-20
Lorenzo,Lasagna,Pizzeria Napoli,4,2023-04-22
Elena,Risotto alla Milanese,Pizzeria Napoli,2,2023-08-02
Davide,Pizza Margherita,Ristorante Roma,2,2023-01-12
Chiara,Cannoli,Osteria Firenze,3,2023-12-10
Luca,Bruschetta,Cucina Siciliana,5,2023-01-03
Sara,Risotto alla Milanese,Cucina Siciliana,4,2023-08-17
Francesco,Focaccia,Ristorante Roma,1,2023-08-11
Silvia,Pizza Margherita,Trattoria Milano,5,2023-05-17
Martina,Focaccia,Ristorante Roma,1,2023-08-05
Giorgio,Bruschetta,Ristorante Roma,5,2023-03-27
Alessandro,Gnocchi,Ristorante Roma,5,2023-11-14
Lorenzo,Pizza Margherita,Pizzeria Napoli,3,2023-12-08
Sara,Tiramisu,Cucina Siciliana,4,2023-01-13
Alessandro,Cannoli,Cucina Siciliana,1,2023-11-14
Francesco,Gnocchi,Ristorante Roma,4,2023-02-18
Giulia,Lasagna,Ristorante Roma,4,2023-02-05
Lorenzo,Panna Cotta,Pizzeria Napoli,1,2023-01-12
Lorenzo,Bruschetta,Trattoria Milano,5,2023-09-10
Giulia,Risotto alla Milanese,Osteria Firenze,5,2023-10-14
Federica,Risotto alla Milanese,Ristorante Roma,1,2023-07-28
Marco,Lasagna,Osteria Firenze,5,2023-02-06
Marco,Panna Cotta,Trattoria Milano,1,2023-09-12
Marco,Pizza Margherita,Cucina Siciliana,2,2023-05-21
Giorgio,Bruschetta,Ristorante Roma,4,2023-05-22
Andrea,Spaghetti Carbonara,Pizzeria Napoli,3,2023-07-09
Chiara,Cannoli,Pizzeria Napoli,4,2023-02-03
Marco,Bruschetta,Osteria Firenze,2,2023-11-25
Francesca,Pizza Margherita,Trattoria Milano,4,2023-05-07
Francesca,Tiramisu,Ristorante Roma,1,2023-04-19
Martina,Spaghetti Carbonara,Pizzeria Napoli,3,2023-11-15
Andrea,Pizza Margherita,Ristorante Roma,5,2023-08-02
Alice,Lasagna,Pizzeria Napoli,1,2023-04-17
Francesco,Spaghetti Carbonara,Cucina Siciliana,3,2023-03-11
Francesco,Lasagna,Trattoria Milano,3,2023-06-11
Martina,Risotto alla Milanese,Trattoria Milano,3,2023-05-10
Matteo,Cannoli,Cucina Siciliana,5,2023-10-28
Matteo,Risotto alla Milanese,Pizzeria Napoli,2,2023-12-09
Giorgio,Lasagna,Ristorante Roma,5,2023-06-04
Matteo,Tiramisu,Ristorante Roma,1,2023-02-13
Lorenzo,Risotto alla Milanese,Trattoria Milano,2,2023-03-26
Giorgio,Tiramisu,Pizzeria Napoli,5,2023-12-11
Alessandro,Lasagna,Osteria Firenze,1,2023-12-24
Marco,Spaghetti Carbonara,Osteria Firenze,4,2023-03-17
Marco,Spaghetti Carbonara,Ristorante Roma,2,2023-03-05
Alessandro,Tiramisu,Pizzeria Napoli,5,2023-01-05
Francesca,Focaccia,Osteria Firenze,3,2023-05-02
Andrea,Focaccia,Cucina Siciliana,4,2023-06-21
Andrea,Gnocchi,Pizzeria Napoli,5,2023-01-24
Silvia,Bruschetta,Trattoria Milano,4,2023-06-17
Lorenzo,Risotto alla Milanese,Trattoria Milano,4,2023-12-20
Chiara,Gnocchi,Trattoria Milano,4,2023-06-11
Luca,Panna Cotta,Osteria Firenze,3,2023-09-19
Federica,Pizza Margherita,Osteria Firenze,5,2023-11-18
Lorenzo,Lasagna,Cucina Siciliana,3,2023-09-08
Silvia,Pizza Margherita,Ristorante Roma,1,2023-01-08
Lorenzo,Focaccia,Osteria Firenze,3,2023-05-13
Simone,Gnocchi,Trattoria Milano,5,2023-06-11
Marco,Focaccia,Trattoria Milano,2,2023-05-16
Elena,Spaghetti Carbonara,Ristorante Roma,3,2023-08-25
Simone,Risotto alla Milanese,Osteria Firenze,2,2023-08-26
Giorgio,Panna Cotta,Osteria Firenze,1,2023-04-25
Matteo,Pizza Margherita,Cucina Siciliana,5,2023-08-08
Matteo,Bruschetta,Ristorante Roma,4,2023-03-02
Sara,Gnocchi,Ristorante Roma,2,2023-04-06
Andrea,Risotto alla Milanese,Osteria Firenze,4,2023-02-13
Lorenzo,Focaccia,Trattoria Milano,1,2023-07-02
Martina,Focaccia,Pizzeria Napoli,2,2023-02-26
Francesco,Panna Cotta,Pizzeria Napoli,2,2023-07-03
Sara,Gnocchi,Osteria Firenze,5,2023-07-21
Alessandro,Pizza Margherita,Ristorante Roma,1,2023-05-13
Lorenzo,Tiramisu,Osteria Firenze,1,2023-09-22
Giorgio,Gnocchi,Trattoria Milano,2,2023-04-08
Silvia,Lasagna,Trattoria Milano,2,2023-12-14
Silvia,Tiramisu,Pizzeria Napoli,5,2023-11-23
Sara,Spaghetti Carbonara,Pizzeria Napoli,2,2023-02-24
Giulia,Bruschetta,Pizzeria Napoli,1,2023-09-17
Federica,Focaccia,Ristorante Roma,2,2023-08-09
Chiara,Tiramisu,Pizzeria Napoli,1,2023-12-11
Luca,Risotto alla Milanese,Ristorante Roma,3,2023-02-12
Francesca,Lasagna,Trattoria Milano,3,2023-03-17
Chiara,Panna Cotta,Pizzeria Napoli,3,2023-05-17
Luca,Bruschetta,Trattoria Milano,5,2023-05-11
Francesco,Tiramisu,Ristorante Roma,4,2023-11-17
Francesca,Bruschetta,Ristorante Roma,5,2023-04-19
Lorenzo,Tiramisu,Trattoria Milano,1,2023-05-22
Alice,Gnocchi,Pizzeria Napoli,1,2023-03-15
Alice,Spaghetti Carbonara,Osteria Firenze,4,2023-09-28
Alessandro,Bruschetta,Cucina Siciliana,2,2023-05-13
Francesca,Spaghetti Carbonara,Ristorante Roma,1,2023-06-11
Luca,Lasagna,Cucina Siciliana,5,2023-02-09
Sara,Gnocchi,Pizzeria Napoli,2,2023-03-28
Chiara,Tiramisu,Pizzeria Napoli,1,2023-04-21
Andrea,Risotto alla Milanese,Cucina Siciliana,1,2023-01-22
Martina,Tiramisu,Pizzeria Napoli,5,2023-10-14
Francesco,Tiramisu,Trattoria Milano,1,2023-04-14
Martina,Risotto alla Milanese,Ristorante Roma,3,2023-06-17
Elena,Focaccia,Pizzeria Napoli,5,2023-11-25
Francesca,Cannoli,Pizzeria Napoli,2,2023-06-01
Silvia,Gnocchi,Pizzeria Napoli,1,2023-08-28
Elena,Focaccia,Cucina Siciliana,2,2023-11-15
Davide,Spaghetti Carbonara,Cucina Siciliana,5,2023-09-01
Alessandro,Lasagna,Ristorante Roma,4,2023-11-21
Francesca,Gnocchi,Pizzeria Napoli,3,2023-09-11
Sara,Pizza Margherita,Ristorante Roma,5,2023-06-27
Francesca,Panna Cotta,Osteria Firenze,5,2023-09-02
Giulia,Gnocchi,Pizzeria Napoli,2,2023-04-26
Sara,Bruschetta,Cucina Siciliana,4,2023-02-11
Simone,Focaccia,Ristorante Roma,1,2023-11-26
Elena,Gnocchi,Trattoria Milano,1,2023-10-25
Martina,Risotto alla Milanese,Osteria Firenze,5,2023-05-08
Sara,Lasagna,Pizzeria Napoli,3,2023-11-01
Giorgio,Lasagna,Pizzeria Napoli,1,2023-09-14
Federica,Cannoli,Ristorante Roma,2,2023-05-20
Silvia,Bruschetta,Osteria Firenze,1,2023-02-06
Giulia,Cannoli,Cucina Siciliana,5,2023-06-06
Federica,Cannoli,Cucina Siciliana,3,2023-06-08
Elena,Pizza Margherita,Ristorante Roma,3,2023-02-11
Elena,Focaccia,Ristorante Roma,4,2023-03-28
Alice,Panna Cotta,Osteria Firenze,2,2023-09-12
Andrea,Tiramisu,Ristorante Roma,2,2023-03-23
Chiara,Focaccia,Trattoria Milano,2,2023-06-04
Elena,Risotto alla Milanese,Cucina Siciliana,3,2023-02-17
Andrea,Tiramisu,Trattoria Milano,2,2023-07-08
Francesco,Cannoli,Pizzeria Napoli,1,2023-11-07
Giorgio,Lasagna,Trattoria Milano,5,2023-06-12
Davide,Tiramisu,Trattoria Milano,4,2023-05-28
Martina,Tiramisu,Trattoria Milano,4,2023-08-02
Sara,Focaccia,Cucina Siciliana,3,2023-09-03
Elena,Cannoli,Pizzeria Napoli,1,2023-06-24
Giulia,Risotto alla Milanese,Ristorante Roma,1,2023-07-17
Marco,Lasagna,Pizzeria Napoli,5,2023-03-03
Giorgio,Gnocchi,Osteria Firenze,2,2023-01-18
Francesco,Lasagna,Cucina Siciliana,4,2023-05-27
Federica,Lasagna,Ristorante Roma,2,2023-01-26
Francesco,Lasagna,Pizzeria Napoli,2,2023-11-11
Davide,Bruschetta,Cucina Siciliana,2,2023-01-17
Giulia,Panna Cotta,Cucina Siciliana,1,2023-04-05
Andrea,Panna Cotta,Osteria Firenze,5,2023-03-12
Lorenzo,Risotto alla Milanese,Cucina Siciliana,4,2023-07-15
Alessandro,Cannoli,Cucina Siciliana,5,2023-04-23
Martina,Lasagna,Trattoria Milano,4,2023-08-09
Alice,Risotto alla Milanese,Pizzeria Napoli,1,2023-11-04
Simone,Risotto alla Milanese,Cucina Siciliana,1,2023-03-15
Sara,Lasagna,Trattoria Milano,5,2023-08-24
Martina,Lasagna,Osteria Firenze,2,2023-09-17
Silvia,Gnocchi,Cucina Siciliana,5,2023-05-09
Chiara,Tiramisu,Ristorante Roma,2,2023-08-07
Alessandro,Focaccia,Cucina Siciliana,5,2023-04-03
Lorenzo,Focaccia,Pizzeria Napoli,4,2023-12-06
Lorenzo,Lasagna,Ristorante Roma,5,2023-07-26
Federica,Tiramisu,Ristorante Roma,3,2023-03-14
Alice,Focaccia,Pizzeria Napoli,5,2023-06-21
Sara,Pizza Margherita,Osteria Firenze,2,2023-10-27
Giulia,Bruschetta,Ristorante Roma,3,2023-10-22
Giorgio,Lasagna,Pizzeria Napoli,1,2023-11-21
Matteo,Focaccia,Ristorante Roma,1,2023-09-19
Francesca,Pizza Margherita,Ristorante Roma,2,2023-08-15
Alessandro,Focaccia,Ristorante Roma,2,2023-07-25
Giorgio,Spaghetti Carbonara,Osteria Firenze,1,2023-09-13
Chiara,Focaccia,Pizzeria Napoli,4,2023-05-03
Giorgio,Pizza Margherita,Pizzeria Napoli,5,2023-07-01
Giorgio,Risotto alla Milanese,Trattoria Milano,4,2023-04-18
Giorgio,Risotto alla Milanese,Osteria Firenze,4,2023-03-08
Valentina,Cannoli,Ristorante Roma,2,2023-07-04
Lorenzo,Focaccia,Ristorante Roma,1,2023-01-08
Lorenzo,Tiramisu,Ristorante Roma,5,2023-11-16
Chiara,Panna Cotta,Cucina Siciliana,3,2023-03-12
Alice,Cannoli,Ristorante Roma,4,2023-04-12
Giulia,Panna Cotta,Osteria Firenze,1,2023-05-08
Alessandro,Panna Cotta,Osteria Firenze,2,2023-07-19
Lorenzo,Spaghetti Carbonara,Pizzeria Napoli,4,2023-01-17
Elena,Tiramisu,Osteria Firenze,5,2023-11-12
Giorgio,Focaccia,Ristorante Roma,5,2023-09-28
Valentina,Tiramisu,Osteria Firenze,1,2023-02-16
Davide,Risotto alla Milanese,Cucina Siciliana,3,2023-02-15
Alessandro,Lasagna,Ristorante Roma,5,2023-04-22
Alessandro,Gnocchi,Osteria Firenze,5,2023-08-20
Federica,Cannoli,Ristorante Roma,1,2023-08-26
Martina,Pizza Margherita,Trattoria Milano,2,2023-05-28
Davide,Tiramisu,Trattoria Milano,2,2023-04-09
Giorgio,Pizza Margherita,Pizzeria Napoli,3,2023-03-10
Giulia,Bruschetta,Osteria Firenze,2,2023-12-24
Martina,Focaccia,Trattoria Milano,3,2023-07-07
Simone,Focaccia,Pizzeria Napoli,3,2023-09-22
Silvia,Risotto alla Milanese,Pizzeria Napoli,3,2023-02-21
Giulia,Focaccia,Osteria Firenze,3,2023-10-09
Luca,Focaccia,Ristorante Roma,3,2023-04-27
Giulia,Lasagna,Ristorante Roma,3,2023-10-25
Martina,Tiramisu,Osteria Firenze,3,2023-05-27
Francesca,Spaghetti Carbonara,Ristorante Roma,5,2023-12-01
Giorgio,Lasagna,Ristorante Roma,1,2023-04-19
Luca,Cannoli,Pizzeria Napoli,1,2023-10-06
Alice,Focaccia,Ristorante Roma,2,2023-02-27
Federica,Risotto alla Milanese,Pizzeria Napoli,3,2023-05-25
Simone,Lasagna,Cucina Siciliana,3,2023-09-27
Lorenzo,Panna Cotta,Pizzeria Napoli,1,2023-11-25
Davide,Cannoli,Trattoria Milano,4,2023-08-07
Giorgio,Tiramisu,Pizzeria Napoli,1,2023-09-14
Matteo,Spaghetti Carbonara,Osteria Firenze,5,2023-02-03
Luca,Spaghetti Carbonara,Trattoria Milano,2,2023-06-19
Francesca,Panna Cotta,Osteria Firenze,2,2023-06-01
Valentina,Panna Cotta,Osteria Firenze,2,2023-01-09
Chiara,Bruschetta,Ristorante Roma,4,2023-12-01
Matteo,Bruschetta,Trattoria Milano,3,2023-05-02
Andrea,Focaccia,Trattoria Milano,4,2023-02-28
Andrea,Tiramisu,Pizzeria Napoli,2,2023-02-22
Andrea,Cannoli,Ristorante Roma,5,2023-04-22
Alessandro,Focaccia,Pizzeria Napoli,4,2023-01-23
Marco,Focaccia,Trattoria Milano,1,2023-01-06
Chiara,Tiramisu,Cucina Siciliana,5,2023-01-10
Federica,Gnocchi,Osteria Firenze,5,2023-04-19
Marco,Lasagna,Cucina Siciliana,1,2023-04-12
Martina,Gnocchi,Ristorante Roma,5,2023-10-20
Francesco,Gnocchi,Cucina Siciliana,4,2023-10-17
Martina,Cannoli,Ristorante Roma,1,2023-05-09
Chiara,Risotto alla Milanese,Cucina Siciliana,3,2023-07-22
Davide,Focaccia,Cucina Siciliana,2,2023-07-17
Elena,Gnocchi,Osteria Firenze,1,2023-06-09
Simone,Tiramisu,Cucina Siciliana,4,2023-07-13
Giorgio,Gnocchi,Cucina Siciliana,2,2023-05-06
Elena,Spaghetti Carbonara,Ristorante Roma,1,2023-11-10
Lorenzo,Cannoli,Trattoria Milano,4,2023-03-04
Giulia,Bruschetta,Trattoria Milano,4,2023-11-14
Alessandro,Gnocchi,Osteria Firenze,4,2023-08-08
Andrea,Bruschetta,Ristorante Roma,1,2023-03-03
Martina,Panna Cotta,Trattoria Milano,1,2023-02-02
Lorenzo,Focaccia,Ristorante Roma,2,2023-01-21
Alessandro,Panna Cotta,Trattoria Milano,1,2023-07-13
Matteo,Cannoli,Ristorante Roma,3,2023-07-26
Giorgio,Gnocchi,Cucina Siciliana,1,2023-01-17
Andrea,Bruschetta,Osteria Firenze,5,2023-03-15
Andrea,Cannoli,Pizzeria Napoli,1,2023-06-28
Davide,Panna Cotta,Ristorante Roma,5,2023-09-22
Alice,Bruschetta,Osteria Firenze,4,2023-03-22
Davide,Gnocchi,Cucina Siciliana,3,2023-03-02
Davide,Risotto alla Milanese,Osteria Firenze,5,2023-09-08
Federica,Risotto alla Milanese,Trattoria Milano,4,2023-09-08
Francesca,Lasagna,Ristorante Roma,1,2023-02-02
Francesco,Focaccia,Pizzeria Napoli,5,2023-11-10
Marco,Risotto alla Milanese,Osteria Firenze,3,2023-07-04
Silvia,Cannoli,Osteria Firenze,3,2023-11-02
Giorgio,Bruschetta,Pizzeria Napoli,4,2023-02-24
Simone,Bruschetta,Pizzeria Napoli,1,2023-10-26
Matteo,Gnocchi,Trattoria Milano,4,2023-01-03
Matteo,Risotto alla Milanese,Pizzeria Napoli,5,2023-11-07
Davide,Focaccia,Cucina Siciliana,2,2023-01-16
Marco,Tiramisu,Trattoria Milano,4,2023-10-05
Martina,Cannoli,Cucina Siciliana,5,2023-11-22
Alice,Panna Cotta,Osteria Firenze,1,2023-08-13
Giulia,Cannoli,Pizzeria Napoli,3,2023-01-26
Giulia,Spaghetti Carbonara,Pizzeria Napoli,3,2023-10-23
Federica,Pizza Margherita,Ristorante Roma,3,2023-06-03
Luca,Tiramisu,Trattoria Milano,5,2023-11-04
Alessandro,Focaccia,Trattoria Milano,5,2023-04-23
Chiara,Panna Cotta,Pizzeria Napoli,2,2023-05-20
Elena,Pizza Margherita,Pizzeria Napoli,1,2023-05-22
Chiara,Tiramisu,Osteria Firenze,5,2023-12-24
Valentina,Spaghetti Carbonara,Ristorante Roma,3,2023-08-08
Alessandro,Panna Cotta,Cucina Siciliana,2,2023-02-08
Andrea,Pizza Margherita,Cucina Siciliana,3,2023-04-12
Andrea,Cannoli,Osteria Firenze,5,2023-11-03
Simone,Pizza Margherita,Osteria Firenze,4,2023-11-27
Lorenzo,Focaccia,Osteria Firenze,4,2023-05-03
Chiara,Panna Cotta,Trattoria Milano,1,2023-04-23
Simone,Cannoli,Osteria Firenze,3,2023-05-21
Martina,Risotto alla Milanese,Ristorante Roma,4,2023-03-11
Giulia,Cannoli,Cucina Siciliana,3,2023-09-20
Alice,Risotto alla Milanese,Osteria Firenze,2,2023-07-28
Matteo,Tiramisu,Osteria Firenze,5,2023-12-18
Francesca,Focaccia,Ristorante Roma,2,2023-04-06
Valentina,Spaghetti Carbonara,Osteria Firenze,2,2023-08-23
Andrea,Tiramisu,Pizzeria Napoli,5,2023-07-09
Davide,Focaccia,Trattoria Milano,3,2023-01-07
Francesca,Pizza Margherita,Pizzeria Napoli,2,2023-01-14
Valentina,Spaghetti Carbonara,Pizzeria Napoli,2,2023-01-23
Andrea,Panna Cotta,Pizzeria Napoli,3,2023-12-24
Francesco,Spaghetti Carbonara,Cucina Siciliana,1,2023-06-02
Francesca,Focaccia,Trattoria Milano,3,2023-08-12
Sara,Focaccia,Pizzeria Napoli,5,2023-08-26
Giorgio,Lasagna,Pizzeria Napoli,3,2023-07-16
Francesco,Panna Cotta,Osteria Firenze,5,2023-07-24
Davide,Risotto alla Milanese,Osteria Firenze,4,2023-05-10
Giorgio,Gnocchi,Ristorante Roma,5,2023-04-28
Alessandro,Tiramisu,Pizzeria Napoli,1,2023-01-10
Lorenzo,Spaghetti Carbonara,Trattoria Milano,4,2023-10-02
Silvia,Spaghetti Carbonara,Trattoria Milano,4,2023-05-20
Marco,Tiramisu,Ristorante Roma,4,2023-08-23
Sara,Panna Cotta,Cucina Siciliana,4,2023-10-07
Giorgio,Lasagna,Cucina Siciliana,5,2023-04-05
Francesca,Spaghetti Carbonara,Trattoria Milano,3,2023-12-14
Matteo,Focaccia,Trattoria Milano,3,2023-12-16
Giorgio,Pizza Margherita,Trattoria Milano,1,2023-07-10
Giulia,Bruschetta,Cucina Siciliana,1,2023-02-19
Elena,Panna Cotta,Ristorante Roma,2,2023-07-07
Francesco,Pizza Margherita,Ristorante Roma,4,2023-10-27
Federica,Bruschetta,Pizzeria Napoli,4,2023-06-19
Alessandro,Bruschetta,Osteria Firenze,2,2023-07-07
Francesca,Bruschetta,Cucina Siciliana,5,2023-01-17
Matteo,Focaccia,Osteria Firenze,5,2023-09-28
Valentina,Focaccia,Pizzeria Napoli,4,2023-07-08
Francesco,Focaccia,Pizzeria Napoli,5,2023-03-28
Marco,Focaccia,Trattoria Milano,5,2023-06-08
Sara,Bruschetta,Osteria Firenze,2,2023-03-27
Elena,Pizza Margherita,Osteria Firenze,5,2023-05-20
Davide,Tiramisu,Trattoria Milano,4,2023-07-22
Francesca,Cannoli,Trattoria Milano,1,2023-04-20
Francesco,Pizza Margherita,Pizzeria Napoli,1,2023-01-15
Francesco,Pizza Margherita,Trattoria Milano,2,2023-11-13
Valentina,Panna Cotta,Osteria Firenze,2,2023-11-13
Alessandro,Tiramisu,Ristorante Roma,4,2023-09-16
Giulia,Focaccia,Trattoria Milano,1,2023-07-13
Federica,Spaghetti Carbonara,Cucina Siciliana,3,2023-05-21
Alice,Gnocchi,Ristorante Roma,3,2023-04-15
Davide,Lasagna,Trattoria Milano,4,2023-05-23
Silvia,Pizza Margherita,Ristorante Roma,4,2023-09-22
Simone,Pizza Margherita,Pizzeria Napoli,3,2023-11-02
Alice,Bruschetta,Pizzeria Napoli,1,2023-09-25
Sara,Panna Cotta,Osteria Firenze,4,2023-01-11
Sara,Cannoli,Osteria Firenze,3,2023-07-11
Giorgio,Pizza Margherita,Trattoria Milano,5,2023-05-21
Sara,Gnocchi,Trattoria Milano,5,2023-03-22
Sara,Bruschetta,Ristorante Roma,3,2023-03-11
Giorgio,Tiramisu,Osteria Firenze,2,2023-08-19
Alessandro,Pizza Margherita,Osteria Firenze,4,2023-02-06
Matteo,Risotto alla Milanese,Pizzeria Napoli,4,2023-06-26
Giorgio,Lasagna,Trattoria Milano,5,2023-04-26
Giorgio,Bruschetta,Pizzeria Napoli,4,2023-03-26
Marco,Panna Cotta,Osteria Firenze,4,2023-01-10
Federica,Panna Cotta,Ristorante Roma,4,2023-08-24
Alice,Spaghetti Carbonara,Pizzeria Napoli,4,2023-11-09
Simone,Panna Cotta,Pizzeria Napoli,5,2023-09-02
Marco,Cannoli,Trattoria Milano,1,2023-10-20
Sara,Cannoli,Osteria Firenze,3,2023-08-05
Marco,Cannoli,Osteria Firenze,1,2023-03-12
Davide,Tiramisu,Pizzeria Napoli,2,2023-02-23
Federica,Lasagna,Pizzeria Napoli,4,2023-07-16
Alice,Pizza Margherita,Ristorante Roma,2,2023-03-26
Silvia,Pizza Margherita,Pizzeria Napoli,5,2023-01-20
Chiara,Cannoli,Trattoria Milano,4,2023-09-21
Matteo,Focaccia,Ristorante Roma,3,2023-12-15
Francesca,Spaghetti Carbonara,Cucina Siciliana,4,2023-03-22
Sara,Gnocchi,Osteria Firenze,2,2023-10-25
Silvia,Pizza Margherita,Osteria Firenze,5,2023-05-26
Francesco,Tiramisu,Cucina Siciliana,3,2023-06-05
Davide,Spaghetti Carbonara,Ristorante Roma,4,2023-03-11
Elena,Gnocchi,Trattoria Milano,5,2023-11-08
Davide,Gnocchi,Trattoria Milano,5,2023-08-15
Giulia,Gnocchi,Pizzeria Napoli,1,2023-12-01
Sara,Tiramisu,Ristorante Roma,1,2023-09-10
Martina,Tiramisu,Ristorante Roma,3,2023-08-15
Giorgio,Pizza Margherita,Trattoria Milano,5,2023-01-06
Giorgio,Focaccia,Osteria Firenze,5,2023-06-27
Francesco,Pizza Margherita,Cucina Siciliana,3,2023-12-06
Matteo,Focaccia,Trattoria Milano,1,2023-07-25
Giulia,Cannoli,Cucina Siciliana,2,2023-04-06
Chiara,Spaghetti Carbonara,Trattoria Milano,4,2023-01-25
Valentina,Gnocchi,Pizzeria Napoli,3,2023-11-15
Elena,Risotto alla Milanese,Ristorante Roma,3,2023-03-20
Francesca,Risotto alla Milanese,Trattoria Milano,4,2023-08-24
Giorgio,Gnocchi,Osteria Firenze,2,2023-01-03
Francesca,Focaccia,Trattoria Milano,5,2023-04-08
Alice,Lasagna,Cucina Siciliana,2,2023-12-13
Giulia,Risotto alla Milanese,Osteria Firenze,1,2023-07-13
Giulia,Panna Cotta,Pizzeria Napoli,3,2023-07-10
Alice,Risotto alla Milanese,Trattoria Milano,2,2023-02-05
Alessandro,Spaghetti Carbonara,Osteria Firenze,5,2023-07-05
Chiara,Panna Cotta,Trattoria Milano,5,2023-12-04
Chiara,Cannoli,Trattoria Milano,2,2023-09-05
Martina,Lasagna,Osteria Firenze,3,2023-10-11
Andrea,Pizza Margherita,Pizzeria Napoli,4,2023-01-09
Lorenzo,Tiramisu,Osteria Firenze,1,2023-04-22
Alice,Gnocchi,Osteria Firenze,5,2023-11-10
Marco,Bruschetta,Pizzeria Napoli,4,2023-07-14
Luca,Spaghetti Carbonara,Ristorante Roma,3,2023-09-09
Martina,Risotto alla Milanese,Cucina Siciliana,5,2023-04-23
Giulia,Panna Cotta,Ristorante Roma,2,2023-10-25
Valentina,Cannoli,Ristorante Roma,1,2023-03-20
Alice,Spaghetti Carbonara,Trattoria Milano,3,2023-11-11
Francesco,Gnocchi,Ristorante Roma,2,2023-12-25
Martina,Spaghetti Carbonara,Osteria Firenze,3,2023-01-19
Federica,Risotto alla Milanese,Cucina Siciliana,3,2023-10-16
Chiara,Bruschetta,Pizzeria Napoli,3,2023-10-12
